time	V(d_1p)	V(d_3p)	V(d_5p)
1.175922785391365e-010	1.948324e-002	1.652522e-002	1.654975e-002
1.182560069308944e-010	1.608187e-002	1.726955e-002	1.278518e-002
1.188196468388671e-010	1.339385e-002	1.766746e-002	9.888916e-003
1.193152847169361e-010	1.148058e-002	1.785269e-002	7.831899e-003
1.198923878672990e-010	1.019452e-002	1.788953e-002	6.386518e-003
1.204430524603647e-010	1.029590e-002	1.775846e-002	6.317782e-003
1.211023252135709e-010	1.264617e-002	1.740595e-002	8.420297e-003
1.213037632408527e-010	1.390924e-002	1.725792e-002	9.597106e-003
1.215371239454364e-010	1.572519e-002	1.706423e-002	1.130745e-002
1.219400000000000e-010	1.978558e-002	1.667593e-002	1.517452e-002
1.220608628163691e-010	2.128347e-002	1.653971e-002	1.647128e-002
1.222220132381945e-010	2.332044e-002	1.634546e-002	1.842061e-002
1.225443140818454e-010	2.793251e-002	1.594643e-002	2.306252e-002
1.229235911236188e-010	3.454876e-002	1.546208e-002	2.967172e-002
1.232752427646622e-010	4.180006e-002	1.497499e-002	3.675434e-002
1.237226757235338e-010	5.225105e-002	1.427235e-002	4.691215e-002
1.239667300647365e-010	5.848774e-002	1.386356e-002	5.302520e-002
1.246221526598146e-010	7.649614e-002	1.257367e-002	7.026420e-002
1.250329757374638e-010	8.815975e-002	1.166418e-002	8.184300e-002
1.256163616013916e-010	1.053786e-001	1.034683e-002	9.942912e-002
1.261894755820042e-010	1.231920e-001	9.052231e-003	1.178290e-001
1.268415929831014e-010	1.443344e-001	7.551017e-003	1.394939e-001
1.275731828161540e-010	1.683011e-001	5.753054e-003	1.636035e-001
1.282122990501543e-010	1.884581e-001	4.023809e-003	1.835217e-001
1.286599855707409e-010	2.016092e-001	2.706090e-003	1.963946e-001
1.291086186756667e-010	2.136292e-001	1.297649e-003	2.081423e-001
1.295933339275827e-010	2.250715e-001	-3.094061e-004	2.193827e-001
1.301874575694532e-010	2.367300e-001	-2.362201e-003	2.310125e-001
1.309408678449668e-010	2.478648e-001	-5.003409e-003	2.425073e-001
1.315817602336068e-010	2.545170e-001	-7.194411e-003	2.497765e-001
1.321050615077143e-010	2.584613e-001	-8.884179e-003	2.543682e-001
1.326783232540530e-010	2.617658e-001	-1.058225e-002	2.584423e-001
1.332324314103863e-010	2.643923e-001	-1.203879e-002	2.618016e-001
1.339463696084521e-010	2.675564e-001	-1.361462e-002	2.658083e-001
1.345468378107432e-010	2.703164e-001	-1.466823e-002	2.691568e-001
1.352073059994469e-010	2.735461e-001	-1.554540e-002	2.729111e-001
1.358117168168399e-010	2.765134e-001	-1.610395e-002	2.762788e-001
1.363962274801846e-010	2.790670e-001	-1.644017e-002	2.791911e-001
1.369312125366646e-010	2.807768e-001	-1.658735e-002	2.812415e-001
1.374935865493152e-010	2.815125e-001	-1.659147e-002	2.823790e-001
1.380690461935952e-010	2.807178e-001	-1.644918e-002	2.820619e-001
1.387352784151575e-010	2.773364e-001	-1.611467e-002	2.793240e-001
1.395474164754528e-010	2.690448e-001	-1.546759e-002	2.720829e-001
1.402548510577617e-010	2.581233e-001	-1.473383e-002	2.616298e-001
1.405663309954660e-010	2.516972e-001	-1.439060e-002	2.555869e-001
1.408778109331703e-010	2.447798e-001	-1.400240e-002	2.490635e-001
1.411892908708747e-010	2.373711e-001	-1.356923e-002	2.420594e-001
1.415007708085790e-010	2.294711e-001	-1.309110e-002	2.345749e-001
1.418122507462833e-010	2.210797e-001	-1.256801e-002	2.266098e-001
1.421237306839877e-010	2.121970e-001	-1.199994e-002	2.181641e-001
1.424352106216920e-010	2.028231e-001	-1.138692e-002	2.092379e-001
1.432153512222548e-010	1.793824e-001	-9.825153e-003	1.856902e-001
1.441955576709904e-010	1.476890e-001	-7.826268e-003	1.536369e-001
1.446793357552827e-010	1.315982e-001	-6.771136e-003	1.376049e-001
1.451654589861250e-010	1.156403e-001	-5.626344e-003	1.219002e-001
1.457215173849578e-010	9.822788e-002	-4.186691e-003	1.049348e-001
1.462567891587401e-010	8.285159e-002	-2.659791e-003	9.002374e-002
1.468221813879110e-010	6.858152e-002	-9.064146e-004	7.613470e-002
1.473794356353869e-010	5.678769e-002	9.332969e-004	6.449489e-002
1.478350113241499e-010	4.888243e-002	2.489288e-003	5.650935e-002
1.482764005779181e-010	4.264997e-002	4.010479e-003	5.001690e-002
1.487735373980725e-010	3.712496e-002	5.702795e-003	4.400928e-002
1.492382944456674e-010	3.315586e-002	7.232102e-003	3.944644e-002
1.497541440405146e-010	2.975816e-002	8.833020e-003	3.528838e-002
1.502796947182435e-010	2.701408e-002	1.032819e-002	3.172311e-002
1.508778955484089e-010	2.431438e-002	1.183242e-002	2.810361e-002
1.514277595515451e-010	2.191417e-002	1.301321e-002	2.491611e-002
1.520488679644036e-010	1.906869e-002	1.410758e-002	2.127269e-002
1.526942247587702e-010	1.595383e-002	1.498160e-002	1.742263e-002
1.532786830298309e-010	1.317538e-002	1.555432e-002	1.403253e-002
1.538056045299295e-010	1.097614e-002	1.590547e-002	1.129463e-002
1.543121333550416e-010	9.435475e-003	1.610702e-002	9.220987e-003
1.548853313087276e-010	8.767903e-003	1.618735e-002	7.907609e-003
1.554586010423568e-010	9.648842e-003	1.612278e-002	8.083080e-003
1.561516986620393e-010	1.332383e-002	1.586683e-002	1.082593e-002
1.562476084652577e-010	1.407957e-002	1.581674e-002	1.144648e-002
1.563754882028821e-010	1.518863e-002	1.574465e-002	1.237353e-002
1.565242405247511e-010	1.662664e-002	1.565329e-002	1.359763e-002
1.568055759475249e-010	1.981003e-002	1.545801e-002	1.632919e-002
1.569590316326742e-010	2.179158e-002	1.532968e-002	1.796561e-002
1.571636392128734e-010	2.457426e-002	1.514668e-002	2.051436e-002
1.575538592373624e-010	3.082361e-002	1.479278e-002	2.643995e-002
1.579254354003512e-010	3.804941e-002	1.443639e-002	3.323882e-002
1.582631589084307e-010	4.558890e-002	1.407024e-002	4.025268e-002
1.585996523274708e-010	5.378123e-002	1.365393e-002	4.797886e-002
1.589102616373540e-010	6.202971e-002	1.324001e-002	5.568979e-002
1.593244073838649e-010	7.358735e-002	1.258598e-002	6.640009e-002
1.597204570107037e-010	8.489273e-002	1.187695e-002	7.720167e-002
1.602638483620911e-010	1.008854e-001	1.085958e-002	9.304366e-002
1.608079929231018e-010	1.176555e-001	9.832331e-003	1.100217e-001
1.614674952562978e-010	1.389308e-001	8.562476e-003	1.315889e-001
1.621840378189234e-010	1.625666e-001	7.078625e-003	1.552532e-001
1.628826962024353e-010	1.850299e-001	5.445531e-003	1.773939e-001
1.633426948202358e-010	1.989200e-001	4.242349e-003	1.909582e-001
1.637712937837811e-010	2.108413e-001	3.023695e-003	2.025865e-001
1.642645722705513e-010	2.230589e-001	1.513633e-003	2.145720e-001
1.647762204085189e-010	2.338453e-001	-1.516536e-004	2.253131e-001
1.655015758988247e-010	2.457968e-001	-2.610713e-003	2.376168e-001
1.662233517613723e-010	2.541571e-001	-5.069410e-003	2.467883e-001
1.667761258138067e-010	2.586240e-001	-6.887646e-003	2.521174e-001
1.672926655963120e-010	2.617293e-001	-8.485878e-003	2.561371e-001
1.678516872866546e-010	2.643854e-001	-1.006779e-002	2.598199e-001
1.684860066438309e-010	2.670248e-001	-1.164376e-002	2.635872e-001
1.690955567425853e-010	2.695571e-001	-1.292095e-002	2.671121e-001
1.696601730124505e-010	2.720625e-001	-1.389279e-002	2.704388e-001
1.702960897672735e-010	2.750193e-001	-1.475195e-002	2.742203e-001
1.708258104147669e-010	2.774116e-001	-1.528774e-002	2.772429e-001
1.713400749515568e-010	2.794068e-001	-1.566300e-002	2.798291e-001
1.718986767611506e-010	2.808499e-001	-1.592121e-002	2.819199e-001
1.724474384903084e-010	2.811520e-001	-1.603445e-002	2.828864e-001
1.730578207418271e-010	2.797229e-001	-1.600874e-002	2.822430e-001
1.735286750950530e-010	2.770955e-001	-1.588584e-002	2.802553e-001
1.743642622489900e-010	2.686122e-001	-1.544975e-002	2.731037e-001
1.750519576318555e-010	2.580898e-001	-1.491066e-002	2.632042e-001
1.756965676724158e-010	2.445383e-001	-1.431024e-002	2.505111e-001
1.759698089350137e-010	2.377591e-001	-1.399880e-002	2.442182e-001
1.762430501976117e-010	2.307412e-001	-1.365173e-002	2.376324e-001
1.765162914602097e-010	2.234847e-001	-1.326904e-002	2.307537e-001
1.767895327228076e-010	2.159894e-001	-1.285073e-002	2.235820e-001
1.770627739854056e-010	2.082555e-001	-1.239679e-002	2.161173e-001
1.773360152480036e-010	2.002829e-001	-1.190722e-002	2.083597e-001
1.776092565106015e-010	1.920717e-001	-1.138203e-002	2.003092e-001
1.785220760898636e-010	1.636954e-001	-9.680836e-003	1.714578e-001
1.794830589529251e-010	1.320673e-001	-7.745638e-003	1.395455e-001
1.799688082862326e-010	1.161653e-001	-6.641976e-003	1.237637e-001
1.805160255926971e-010	9.903662e-002	-5.259570e-003	1.069173e-001
1.810430859255289e-010	8.384690e-002	-3.777826e-003	9.203231e-002
1.816123346015274e-010	6.938917e-002	-2.020062e-003	7.779478e-002
1.822396617109725e-010	5.616841e-002	6.889462e-005	6.454910e-002
1.827216932045188e-010	4.801542e-002	1.745822e-003	5.613765e-002
1.831660658968883e-010	4.197263e-002	3.312189e-003	4.966828e-002
1.836619482379885e-010	3.669945e-002	5.044615e-003	4.373490e-002
1.841267832272209e-010	3.292169e-002	6.620558e-003	3.920428e-002
1.846454559079359e-010	2.968432e-002	8.286676e-003	3.503704e-002
1.851766019066417e-010	2.705659e-002	9.859479e-003	3.142515e-002
1.857697485072535e-010	2.449732e-002	1.142552e-002	2.780083e-002
1.863241515495762e-010	2.215157e-002	1.269070e-002	2.453673e-002
1.869457094848128e-010	1.936442e-002	1.387348e-002	2.083200e-002
1.876035432872012e-010	1.624852e-002	1.485896e-002	1.686360e-002
1.881818665348949e-010	1.356499e-002	1.551010e-002	1.350266e-002
1.887004816879130e-010	1.147683e-002	1.593420e-002	1.083375e-002
1.892127694854694e-010	1.001846e-002	1.621524e-002	8.799937e-003
1.897834259726726e-010	9.496396e-003	1.637832e-002	7.610759e-003
1.903660365004674e-010	1.058005e-002	1.639250e-002	7.970654e-003
1.909362999070125e-010	1.359247e-002	1.626652e-002	1.023210e-002
1.916200000000000e-010	2.012982e-002	1.594375e-002	1.583403e-002
1.918251100278963e-010	2.278079e-002	1.579803e-002	1.804272e-002
1.920985900650913e-010	2.660162e-002	1.558437e-002	2.160356e-002
1.924634146036375e-010	3.267307e-002	1.529002e-002	2.740454e-002
1.928902893863108e-010	4.128446e-002	1.490766e-002	3.551883e-002
1.930349914189818e-010	4.453263e-002	1.475960e-002	3.856828e-002
1.931796934516527e-010	4.790786e-002	1.460245e-002	4.173712e-002
