time	V(d_1p)	V(d_3p)	V(d_5p)
1.050924680922262e-010	2.591787e-001	5.769037e-002	2.464540e-001
1.053476961017500e-010	2.547415e-001	5.813677e-002	2.491812e-001
1.056029241112739e-010	2.498290e-001	5.851605e-002	2.515197e-001
1.058209766015932e-010	2.450875e-001	5.903014e-002	2.533685e-001
1.060390290919124e-010	2.401001e-001	5.952646e-002	2.551212e-001
1.062570815822317e-010	2.348667e-001	6.000500e-002	2.567776e-001
1.064751340725510e-010	2.293873e-001	6.046576e-002	2.583378e-001
1.066931865628703e-010	2.236620e-001	6.090874e-002	2.598018e-001
1.069112390531895e-010	2.176906e-001	6.133395e-002	2.611696e-001
1.071292915435088e-010	2.114733e-001	6.174138e-002	2.624411e-001
1.078115131898325e-010	1.918107e-001	6.176009e-002	2.661668e-001
1.086733443695910e-010	1.652906e-001	6.068907e-002	2.707220e-001
1.091813274163457e-010	1.489163e-001	5.982786e-002	2.734988e-001
1.096576071661816e-010	1.333514e-001	5.877479e-002	2.760831e-001
1.101482918037979e-010	1.174574e-001	5.721880e-002	2.785339e-001
1.106640451092747e-010	1.013477e-001	5.480152e-002	2.805917e-001
1.111641982010821e-010	8.674010e-002	5.148925e-002	2.817691e-001
1.117783104729292e-010	7.074101e-002	4.598938e-002	2.816526e-001
1.123853009838438e-010	5.745227e-002	3.907741e-002	2.794328e-001
1.127770959212958e-010	5.032852e-002	3.393759e-002	2.767348e-001
1.128801619671248e-010	4.865300e-002	3.250600e-002	2.758338e-001
1.129832280129538e-010	4.705150e-002	3.105305e-002	2.748677e-001
1.130862940587828e-010	4.552401e-002	2.957873e-002	2.738364e-001
1.131893601046118e-010	4.407053e-002	2.808303e-002	2.727399e-001
1.132924261504408e-010	4.269106e-002	2.656597e-002	2.715782e-001
1.133954921962699e-010	4.138560e-002	2.502754e-002	2.703514e-001
1.134985582420989e-010	4.015415e-002	2.346774e-002	2.690594e-001
1.137757796532977e-010	3.725739e-002	1.943939e-002	2.651188e-001
1.140910341489170e-010	3.450290e-002	1.470665e-002	2.598285e-001
1.144592576854995e-010	3.186858e-002	8.954228e-003	2.526673e-001
1.147208738483091e-010	3.032623e-002	4.810661e-003	2.470256e-001
1.149720000000000e-010	2.905700e-002	8.907969e-004	2.412566e-001
1.150473378455073e-010	2.874497e-002	-1.959577e-004	2.394267e-001
1.151477883061836e-010	2.832094e-002	-1.706442e-003	2.369440e-001
1.153486892275364e-010	2.748948e-002	-4.787131e-003	2.318717e-001
1.156405729919432e-010	2.638683e-002	-9.103901e-003	2.243227e-001
1.159529723576486e-010	2.535708e-002	-1.332211e-002	2.160285e-001
1.162939787287955e-010	2.434573e-002	-1.747936e-002	2.066651e-001
1.166563197175678e-010	2.329635e-002	-2.156851e-002	1.962850e-001
1.170706213675033e-010	2.201135e-002	-2.608364e-002	1.838362e-001
1.175731517088220e-010	2.023691e-002	-3.159097e-002	1.680066e-001
1.180515438337578e-010	1.834101e-002	-3.695836e-002	1.524373e-001
1.185354903398161e-010	1.635198e-002	-4.244703e-002	1.365652e-001
1.190237111593376e-010	1.450948e-002	-4.787334e-002	1.208588e-001
1.195807561090586e-010	1.300232e-002	-5.367726e-002	1.038708e-001
1.201101003844341e-010	1.255952e-002	-5.862131e-002	8.911119e-002
1.207399495834180e-010	1.383564e-002	-6.364936e-002	7.378889e-002
1.213322238294181e-010	1.723276e-002	-6.754836e-002	6.182299e-002
1.214597576738102e-010	1.827206e-002	-6.829027e-002	5.956340e-002
1.216484940699609e-010	2.002355e-002	-6.933294e-002	5.642075e-002
1.218352769619795e-010	2.201121e-002	-7.030430e-002	5.354105e-002
1.219904906364322e-010	2.383244e-002	-7.109254e-002	5.131216e-002
1.221457043108850e-010	2.583198e-002	-7.183164e-002	4.922058e-002
1.223009179853378e-010	2.800983e-002	-7.252160e-002	4.726631e-002
1.224561316597905e-010	3.036598e-002	-7.316241e-002	4.544935e-002
1.226113453342433e-010	3.290044e-002	-7.375409e-002	4.376970e-002
1.227665590086961e-010	3.561321e-002	-7.429662e-002	4.222737e-002
1.229217726831488e-010	3.850429e-002	-7.479002e-002	4.082235e-002
1.232434646394890e-010	4.519428e-002	-7.602726e-002	3.806250e-002
1.237258535360511e-010	5.648165e-002	-7.772975e-002	3.449702e-002
1.239889747523577e-010	6.324657e-002	-7.852624e-002	3.278641e-002
1.246511444811156e-010	8.137125e-002	-8.004992e-002	2.878749e-002
1.250687151338844e-010	9.327935e-002	-8.007959e-002	2.653628e-002
1.256531864823469e-010	1.106700e-001	-7.920560e-002	2.347795e-002
1.262373074336395e-010	1.288989e-001	-7.764477e-002	2.033770e-002
1.268931133480221e-010	1.500377e-001	-7.518127e-002	1.670650e-002
1.274758659540093e-010	1.688866e-001	-7.210661e-002	1.362565e-002
1.279858260887958e-010	1.849096e-001	-6.842378e-002	1.136274e-002
1.284868687004896e-010	1.997517e-001	-6.367063e-002	9.870566e-003
1.289318374283760e-010	2.118644e-001	-5.841610e-002	9.405678e-003
1.294332362472970e-010	2.240069e-001	-5.134502e-002	1.012117e-002
1.299314803791766e-010	2.343009e-001	-4.323716e-002	1.234793e-002
1.300279287973599e-010	2.360804e-001	-4.155624e-002	1.296680e-002
1.302642063272669e-010	2.401437e-001	-3.731336e-002	1.475621e-002
1.304764772258382e-010	2.434394e-001	-3.336804e-002	1.670047e-002
1.307020568322485e-010	2.466080e-001	-2.900775e-002	1.909879e-002
1.309102841612427e-010	2.492109e-001	-2.495666e-002	2.155734e-002
1.311879205999016e-010	2.521717e-001	-1.964685e-002	2.540104e-002
1.315885132428353e-010	2.556778e-001	-1.177209e-002	3.211331e-002
1.319766603618281e-010	2.583851e-001	-3.919164e-003	3.979079e-002
1.323920000000000e-010	2.606825e-001	4.428317e-003	4.903337e-002
1.325166018914516e-010	2.612263e-001	6.793807e-003	5.204865e-002
1.329036104822493e-010	2.628772e-001	1.432016e-002	6.177019e-002
1.333259807053066e-010	2.644241e-001	2.189759e-002	7.279872e-002
1.337431924325403e-010	2.657541e-001	2.855028e-002	8.416352e-002
1.343155270022272e-010	2.675612e-001	3.678938e-002	1.007158e-001
1.348953410049052e-010	2.696252e-001	4.465065e-002	1.186176e-001
1.354721595906193e-010	2.719758e-001	5.227980e-002	1.372294e-001
1.359843988590176e-010	2.741660e-001	5.884206e-002	1.539608e-001
1.365006659473346e-010	2.761815e-001	6.504118e-002	1.704785e-001
1.370516592967474e-010	2.777099e-001	7.093772e-002	1.871501e-001
