time	V(ctle_out)	V(n_3p)
9.439884207587924e-010	-1.835497e-003	2.397766e-003
9.453137555802215e-010	-1.483954e-003	2.739464e-003
9.466390904016508e-010	-1.141038e-003	3.025453e-003
9.479644252230799e-010	-8.067485e-004	3.255732e-003
9.492897600445093e-010	-4.810860e-004	3.430302e-003
9.506150948659384e-010	-1.640502e-004	3.549162e-003
9.519404296873677e-010	1.443587e-004	3.612312e-003
9.532308872766541e-010	4.159116e-004	3.632720e-003
9.545213448659403e-010	6.688459e-004	3.645762e-003
9.558118024552267e-010	9.031613e-004	3.651440e-003
9.571022600445131e-010	1.118858e-003	3.649754e-003
9.583927176337996e-010	1.315936e-003	3.640704e-003
9.596831752230858e-010	1.494395e-003	3.624289e-003
9.609736328123722e-010	1.654236e-003	3.600509e-003
9.625605468748730e-010	1.828775e-003	3.617262e-003
9.641474609373738e-010	1.990885e-003	3.637779e-003
9.657343749998746e-010	2.140567e-003	3.662060e-003
9.673212890623754e-010	2.277819e-003	3.690106e-003
9.689082031248761e-010	2.402642e-003	3.721917e-003
9.704951171873769e-010	2.515036e-003	3.757491e-003
9.720820312498777e-010	2.615002e-003	3.796830e-003
9.739130859373786e-010	2.726743e-003	3.785815e-003
9.757441406248796e-010	2.819167e-003	3.743058e-003
9.775751953123805e-010	2.892273e-003	3.668560e-003
9.794062499998814e-010	2.946061e-003	3.562321e-003
9.812373046873823e-010	2.980531e-003	3.424340e-003
9.830683593748832e-010	2.995683e-003	3.254618e-003
9.848994140623841e-010	2.991517e-003	3.053155e-003
9.865560825891707e-010	2.962377e-003	2.884036e-003
9.882127511159571e-010	2.924686e-003	2.727407e-003
9.898694196427437e-010	2.878442e-003	2.583267e-003
9.915260881695303e-010	2.823647e-003	2.451616e-003
9.931827566963169e-010	2.760301e-003	2.332455e-003
9.948394252231033e-010	2.688402e-003	2.225782e-003
9.964960937498899e-010	2.607952e-003	2.131599e-003
9.966181640623900e-010	2.602306e-003	2.124329e-003
9.981178850445336e-010	2.535119e-003	2.046114e-003
9.996176060266772e-010	2.462774e-003	1.942876e-003
1.001117327008821e-009	2.385271e-003	1.814617e-003
1.002617047990964e-009	2.302609e-003	1.661334e-003
1.004116768973108e-009	2.214790e-003	1.483030e-003
1.005616489955252e-009	2.121813e-003	1.279703e-003
1.007116210937395e-009	2.023677e-003	1.051355e-003
1.008197405133824e-009	1.943294e-003	8.510395e-004
1.009278599330253e-009	1.855610e-003	6.429731e-004
1.010359793526683e-009	1.760624e-003	4.271554e-004
1.011440987723112e-009	1.658336e-003	2.035864e-004
1.012522181919541e-009	1.548746e-003	-2.773387e-005
1.013603376115970e-009	1.431855e-003	-2.668054e-004
1.014684570312399e-009	1.307662e-003	-5.136283e-004
1.015765764508828e-009	1.173429e-003	-7.550171e-004
1.016846958705257e-009	1.036976e-003	-9.733658e-004
1.017928152901686e-009	8.983049e-004	-1.168674e-003
1.019009347098115e-009	7.574144e-004	-1.340943e-003
1.020090541294545e-009	6.143050e-004	-1.490171e-003
1.021171735490974e-009	4.689764e-004	-1.616359e-003
