time	V(sum)
6.455922851562432e-010	1.300682e-002
6.457143554687432e-010	1.308830e-002
6.458364257812432e-010	1.316941e-002
6.459584960937431e-010	1.325015e-002
6.460805664062431e-010	1.333048e-002
6.462026367187430e-010	1.341044e-002
6.463247070312430e-010	1.349008e-002
6.464467773437429e-010	1.356939e-002
6.465688476562429e-010	1.364834e-002
6.466909179687429e-010	1.372693e-002
6.468129882812428e-010	1.380512e-002
6.469350585937428e-010	1.388287e-002
6.470571289062427e-010	1.396013e-002
6.471791992187427e-010	1.403690e-002
6.473012695312426e-010	1.411315e-002
6.474233398437426e-010	1.418891e-002
6.475454101562426e-010	1.426423e-002
6.476674804687425e-010	1.433911e-002
6.477895507812425e-010	1.441352e-002
6.479116210937424e-010	1.448745e-002
6.480336914062424e-010	1.456087e-002
6.481557617187423e-010	1.463373e-002
6.482778320312423e-010	1.470600e-002
6.483999023437423e-010	1.477766e-002
6.485219726562422e-010	1.484868e-002
6.486440429687422e-010	1.491910e-002
6.487661132812421e-010	1.498898e-002
6.488881835937421e-010	1.505830e-002
6.490102539062420e-010	1.512705e-002
6.491323242187420e-010	1.519521e-002
6.492543945312420e-010	1.526275e-002
6.493764648437419e-010	1.532962e-002
6.494985351562419e-010	1.539579e-002
6.496206054687418e-010	1.546125e-002
6.497426757812418e-010	1.552596e-002
6.498647460937418e-010	1.559011e-002
6.498779296875001e-010	1.559699e-002
6.499042968750167e-010	1.561072e-002
6.499472656249667e-010	1.563301e-002
6.500000000000000e-010	1.566030e-002
6.500052734375033e-010	1.566302e-002
6.500158203125100e-010	1.566846e-002
6.500369140625233e-010	1.567931e-002
6.500791015625500e-010	1.570093e-002
6.501634765626033e-010	1.574391e-002
6.502855468751032e-010	1.580558e-002
6.504076171876032e-010	1.586660e-002
6.505296875001031e-010	1.592688e-002
6.506517578126031e-010	1.598638e-002
6.507738281251030e-010	1.604511e-002
6.508779296875001e-010	1.609451e-002
6.510000000000000e-010	1.615186e-002
6.510122070312501e-010	1.615754e-002
6.510366210937500e-010	1.616886e-002
6.510854492187500e-010	1.619140e-002
6.511831054687500e-010	1.623611e-002
6.513051757812500e-010	1.629138e-002
6.514272460937499e-010	1.634591e-002
6.515493164062499e-010	1.639966e-002
6.516713867187498e-010	1.645258e-002
6.517934570312498e-010	1.650464e-002
6.519155273437498e-010	1.655581e-002
6.520375976562497e-010	1.660609e-002
6.521596679687497e-010	1.665549e-002
6.522817382812496e-010	1.670406e-002
6.524038085937496e-010	1.675180e-002
6.525258789062496e-010	1.679870e-002
6.526479492187495e-010	1.684475e-002
6.527700195312495e-010	1.688992e-002
6.528920898437494e-010	1.693418e-002
6.530141601562494e-010	1.697749e-002
6.531362304687493e-010	1.701985e-002
6.532583007812493e-010	1.706124e-002
