time	V(n_3p)	V(sum)
5.562499999999995e-011	-3.544907e-010	-3.530776e-010
5.587499999999995e-011	-1.110648e-010	-1.102454e-010
5.612499999999995e-011	1.356388e-010	1.359167e-010
5.637499999999995e-011	3.834539e-010	3.832362e-010
5.662499999999995e-011	6.303981e-010	6.297210e-010
5.687499999999995e-011	8.746339e-010	8.735216e-010
5.712499999999995e-011	1.114421e-009	1.112884e-009
5.737499999999994e-011	1.348061e-009	1.346098e-009
5.762499999999994e-011	1.573850e-009	1.571445e-009
5.787499999999994e-011	1.790021e-009	1.787150e-009
5.812499999999994e-011	1.994709e-009	1.991339e-009
5.837499999999994e-011	2.185918e-009	2.182013e-009
5.862499999999994e-011	2.361506e-009	2.357027e-009
5.887499999999994e-011	2.519180e-009	2.514094e-009
5.912499999999994e-011	2.656513e-009	2.650796e-009
5.937499999999994e-011	2.770977e-009	2.764611e-009
5.962499999999994e-011	2.859978e-009	2.852964e-009
5.987499999999994e-011	2.920925e-009	2.913279e-009
6.012499999999994e-011	2.951291e-009	2.943049e-009
6.037499999999993e-011	2.948692e-009	2.939911e-009
6.062499999999993e-011	2.910970e-009	2.901726e-009
6.087499999999993e-011	2.836273e-009	2.826663e-009
6.112499999999993e-011	2.723138e-009	2.713280e-009
6.137499999999993e-011	2.570570e-009	2.560597e-009
6.162499999999993e-011	2.378108e-009	2.368168e-009
6.187499999999993e-011	2.145884e-009	2.136137e-009
6.212499999999993e-011	1.874672e-009	1.865286e-009
6.237499999999993e-011	1.565916e-009	1.557064e-009
6.262499999999993e-011	1.221752e-009	1.213606e-009
6.287499999999993e-011	8.450031e-010	8.377313e-010
6.312499999999992e-011	4.391673e-010	4.329304e-010
6.337499999999992e-011	8.383954e-012	3.330576e-012
6.362499999999992e-011	-4.426129e-010	-4.463493e-010
6.387499999999992e-011	-9.085555e-010	-9.108598e-010
6.412499999999992e-011	-1.383716e-009	-1.384494e-009
6.437499999999992e-011	-1.861989e-009	-1.861171e-009
6.462499999999992e-011	-2.336988e-009	-2.334527e-009
6.487499999999992e-011	-2.802142e-009	-2.798017e-009
6.512499999999992e-011	-3.250797e-009	-3.245015e-009
6.537499999999992e-011	-3.676325e-009	-3.668919e-009
6.562499999999992e-011	-4.072228e-009	-4.063255e-009
6.587499999999992e-011	-4.432239e-009	-4.421781e-009
6.612499999999991e-011	-4.750421e-009	-4.738585e-009
6.637499999999991e-011	-5.021261e-009	-5.008174e-009
6.662499999999991e-011	-5.239754e-009	-5.225563e-009
6.687499999999991e-011	-5.401481e-009	-5.386346e-009
6.712499999999991e-011	-5.502669e-009	-5.486769e-009
6.737499999999991e-011	-5.540256e-009	-5.523778e-009
6.762499999999991e-011	-5.511931e-009	-5.495072e-009
6.787499999999991e-011	-5.416169e-009	-5.399130e-009
6.812499999999991e-011	-5.252252e-009	-5.235238e-009
6.837499999999991e-011	-5.020282e-009	-5.003500e-009
6.862499999999991e-011	-4.721183e-009	-4.704835e-009
6.887499999999990e-011	-4.356690e-009	-4.340972e-009
6.912499999999990e-011	-3.929327e-009	-3.914431e-009
6.937499999999990e-011	-3.442383e-009	-3.428492e-009
6.962499999999990e-011	-2.899876e-009	-2.887161e-009
6.987499999999990e-011	-2.306508e-009	-2.295126e-009
7.012499999999990e-011	-1.667613e-009	-1.657710e-009
7.037499999999990e-011	-9.891070e-010	-9.808130e-010
7.062499999999990e-011	-2.774252e-010	-2.708541e-010
7.087499999999990e-011	4.605411e-010	4.652920e-010
7.112499999999990e-011	1.217511e-009	1.220361e-009
7.137499999999990e-011	1.985882e-009	1.986769e-009
7.162499999999990e-011	2.757802e-009	2.756682e-009
7.187499999999989e-011	3.525239e-009	3.522084e-009
7.212499999999989e-011	4.280055e-009	4.274856e-009
7.237499999999989e-011	5.014074e-009	5.006842e-009
7.262499999999989e-011	5.719162e-009	5.709922e-009
7.287499999999989e-011	6.387290e-009	6.376088e-009
7.312499999999989e-011	7.010608e-009	6.997506e-009
7.337499999999989e-011	7.581516e-009	7.566592e-009
7.362499999999989e-011	8.092728e-009	8.076078e-009
7.387499999999989e-011	8.537343e-009	8.519081e-009
7.412499999999989e-011	8.908908e-009	8.889160e-009
7.437499999999989e-011	9.201480e-009	9.180389e-009
7.462499999999988e-011	9.409689e-009	9.387414e-009
7.487499999999988e-011	9.528796e-009	9.505508e-009
7.512499999999988e-011	9.554751e-009	9.530634e-009
7.537499999999988e-011	9.484239e-009	9.459493e-009
7.562499999999988e-011	9.314742e-009	9.289574e-009
7.587499999999988e-011	9.044574e-009	9.019205e-009
7.612499999999988e-011	8.672928e-009	8.647587e-009
7.637499999999988e-011	8.199916e-009	8.174839e-009
7.662499999999988e-011	7.626594e-009	7.602024e-009
7.687499999999988e-011	6.954990e-009	6.931177e-009
7.712499999999988e-011	6.188131e-009	6.165324e-009
7.737499999999988e-011	5.330044e-009	5.308496e-009
7.762499999999987e-011	4.385766e-009	4.365729e-009
7.787499999999987e-011	3.361340e-009	3.343061e-009
7.812499999999987e-011	2.263800e-009	2.247522e-009
7.837499999999987e-011	1.101149e-009	1.087106e-009
7.862499999999987e-011	-1.176751e-010	-1.292611e-010
