Freq.	mag(V(d_3p))
Step Information: C_d=100f  (Run: 1/10)
5.93704000000000e+009	(-8.82580121841569e+000dB,0.00000000000000e+000°)
5.95703000000000e+009	(-8.83626038673618e+000dB,0.00000000000000e+000°)
5.97702000000000e+009	(-8.84672398766264e+000dB,0.00000000000000e+000°)
5.99701000000000e+009	(-8.85719067497714e+000dB,0.00000000000000e+000°)
6.01700000000000e+009	(-8.86765910490305e+000dB,0.00000000000000e+000°)
6.03699000000000e+009	(-8.87812793635092e+000dB,0.00000000000000e+000°)
6.05698000000000e+009	(-8.88859583115952e+000dB,0.00000000000000e+000°)
6.07697000000000e+009	(-8.89906145433144e+000dB,0.00000000000000e+000°)
6.09696000000000e+009	(-8.90952347426388e+000dB,0.00000000000000e+000°)
6.11695000000000e+009	(-8.91998056297373e+000dB,0.00000000000000e+000°)
6.13694000000000e+009	(-8.93043139631729e+000dB,0.00000000000000e+000°)
6.15693000000000e+009	(-8.94087465420542e+000dB,0.00000000000000e+000°)
6.17692000000000e+009	(-8.95130902081297e+000dB,0.00000000000000e+000°)
6.19691000000000e+009	(-8.96173318478322e+000dB,0.00000000000000e+000°)
6.21690000000000e+009	(-8.97214583942688e+000dB,0.00000000000000e+000°)
6.23689000000000e+009	(-8.98254568291599e+000dB,0.00000000000000e+000°)
6.25688000000000e+009	(-8.99293141847334e+000dB,0.00000000000000e+000°)
6.27687000000000e+009	(-9.00330175455548e+000dB,0.00000000000000e+000°)
6.29686000000000e+009	(-9.01365540503202e+000dB,0.00000000000000e+000°)
6.31685000000000e+009	(-9.02399108935857e+000dB,0.00000000000000e+000°)
6.33684000000000e+009	(-9.03430753274612e+000dB,0.00000000000000e+000°)
6.35683000000000e+009	(-9.04460346632381e+000dB,0.00000000000000e+000°)
6.37682000000000e+009	(-9.05487762729797e+000dB,0.00000000000000e+000°)
6.39681000000000e+009	(-9.06512875910594e+000dB,0.00000000000000e+000°)
6.41680000000000e+009	(-9.07535561156467e+000dB,0.00000000000000e+000°)
6.43679000000000e+009	(-9.08555694101493e+000dB,0.00000000000000e+000°)
6.45678000000000e+009	(-9.09573151046054e+000dB,0.00000000000000e+000°)
6.47677000000000e+009	(-9.10587808970318e+000dB,0.00000000000000e+000°)
6.49676000000000e+009	(-9.11599545547201e+000dB,0.00000000000000e+000°)
6.51675000000000e+009	(-9.12608239154932e+000dB,0.00000000000000e+000°)
6.53674000000000e+009	(-9.13613768889121e+000dB,0.00000000000000e+000°)
6.55673000000000e+009	(-9.14616014574402e+000dB,0.00000000000000e+000°)
6.57672000000000e+009	(-9.15614856775635e+000dB,0.00000000000000e+000°)
6.59671000000000e+009	(-9.16610176808658e+000dB,0.00000000000000e+000°)
6.61670000000000e+009	(-9.17601856750644e+000dB,0.00000000000000e+000°)
6.63669000000000e+009	(-9.18589779449989e+000dB,0.00000000000000e+000°)
6.65668000000000e+009	(-9.19573828535846e+000dB,0.00000000000000e+000°)
6.67667000000000e+009	(-9.20553888427204e+000dB,0.00000000000000e+000°)
6.69666000000000e+009	(-9.21529844341588e+000dB,0.00000000000000e+000°)
6.71665000000000e+009	(-9.22501582303380e+000dB,0.00000000000000e+000°)
6.73664000000000e+009	(-9.23468989151727e+000dB,0.00000000000000e+000°)
6.75663000000000e+009	(-9.24431952548114e+000dB,0.00000000000000e+000°)
6.77662000000000e+009	(-9.25390360983506e+000dB,0.00000000000000e+000°)
6.79661000000000e+009	(-9.26344103785200e+000dB,0.00000000000000e+000°)
6.81660000000000e+009	(-9.27293071123257e+000dB,0.00000000000000e+000°)
6.83659000000000e+009	(-9.28237154016650e+000dB,0.00000000000000e+000°)
6.85658000000000e+009	(-9.29176244339022e+000dB,0.00000000000000e+000°)
6.87657000000000e+009	(-9.30110234824138e+000dB,0.00000000000000e+000°)
6.89656000000000e+009	(-9.31039019071002e+000dB,0.00000000000000e+000°)
6.91655000000000e+009	(-9.31962491548678e+000dB,0.00000000000000e+000°)
6.93654000000000e+009	(-9.32880547600782e+000dB,0.00000000000000e+000°)
6.95653000000000e+009	(-9.33793083449699e+000dB,0.00000000000000e+000°)
6.97652000000000e+009	(-9.34699996200450e+000dB,0.00000000000000e+000°)
6.99651000000000e+009	(-9.35601183844354e+000dB,0.00000000000000e+000°)
7.01650000000000e+009	(-9.36496545262368e+000dB,0.00000000000000e+000°)
7.03649000000000e+009	(-9.37385980228138e+000dB,0.00000000000000e+000°)
7.05648000000000e+009	(-9.38269389410842e+000dB,0.00000000000000e+000°)
7.07647000000000e+009	(-9.39146674377722e+000dB,0.00000000000000e+000°)
7.09646000000000e+009	(-9.40017737596421e+000dB,0.00000000000000e+000°)
